Column1;Column2;Column3;Column4
-34.85;177.75;red;"thursday, 12th. gentle breezes at north-west and north, with frequent
calms."
-34.1667;174.9167;red;"sunday, 15th. p.m. stood over for the southermost land or south point of
the bay, having a light breeze at north-east, our soundings from 12 to 8
fathoms."
-34.3667;173.75;red;"tuesday, 17th. p.m. winds at west, a fresh breeze; in the night, variable
light airs and calm; a.m. a gentle breeze between the north-west and
north-east."
-34.1667;172.3333;red;"tuesday, 31st. at half-past one p.m. hauled round the island above
mentioned, which lies east 1 mile from the north-east point of the land."
-35.1667;172.4833;red;"thursday, 2nd. gentle breezes from north-west round northerly to
east-south-east and fair weather."
-35.3167;172.45;red;"mercury bay* (* at the head of mercury bay is a small settlement called
whitianga.) lies in the latitude of 36 degrees 47 minutes south, and the
longitude of 184 degrees 4 minutes west, from the meridian of greenwich."
-34.8333;173.3;red;monday, 27th. p.m., gentle breezes easterly, and clear weather.
-34.5;175.25;red;"sunday, 10th. had the winds from the western board all this day, a gentle
breeze and clear weather."
-39.2667;176.65;red;"friday, 15th. fresh gales at south-west, and for the most part clear
weather with a large swell from the westward."
-40.45;176.75;red;tuesday, 19th. the wind still continues at west.
-41.0;177.9667;red;monday, 25th. a gentle breeze at south-east, the weather a little hazey.
-41.5667;176.7833;red;"tuesday, 26th. moderate breezes, easterly and hazey weather; standing to
the southward close upon a wind."
-41.7;174.5;red;wednesday, 27th. winds at east.
-47.7167;172.0;red;saturday, 13th. winds variable.
-47.2;168.2;blue;"thursday, 8th. in the p.m. had a fresh breeze at north-north-east and
cloudy weather."
-47.4333;168.8167;blue;"saturday, 17th. p.m. stood to the southward for the land above mention'd,
with the wind at north, a fresh breeze and clear weather."
-47.3167;167.8333;blue;"tuesday, 20th. all p.m. had little wind, which veer'd round from south by
east to north-north-east."
-47.6667;175.1;blue;"wednesday, 28th. strong gale at south-west, with a large sea from the
same quarter."
-44.0833;179.0;blue;"thursday, march 1st. winds between the south-west and north-north-west, a
fresh gale."
-40.5;175.9667;blue;"sunday, 1st april. in the p.m. had a moderate breeze at east, which in
the night veer'd to the north-east, and was attended with hazey, rainy
weather."
-37.3833;164.7333;blue;"saturday, 7th. gentle breezes at north-east, which in the a.m. veer'd to
north-west."
-39.3833;156.0333;blue;"friday, 13th. light airs next to a calm, with clear pleasant weather;
what little wind we had was from the north-west quarter."
-37.9667;150.65;blue;"wednesday, 18th. winds southerly, a hard gale, with heavy squalls,
attended with showers of rain and a great sea from the same quarter."
-37.4667;150.05;blue;"thursday, 19th. in the p.m. had fresh gales at south-south-west and
cloudy squally weather, with a large southerly sea; at 6 took in the
topsails, and at 1 a.m. brought too and sounded, but had no ground with
130 fathoms of line."
-35.1667;152.85;blue;"friday, 20th. in the p.m. and most part of the night had a fresh gale
westerly, with squalls, attended with showers of rain."
-34.3667;152.6;blue;"tuesday, 24th. in the p.m. had variable light airs and calms until 6
o'clock, at which time a breeze sprung up at north by west; at this time
we had 70 fathoms water, being about 4 or 5 leagues from the land, the
pidgeon house bearing north 40 degrees west, mount dromedary south 30
degrees west, and the northermost land in sight north 19 degrees east."
-34.1667;152.45;blue;"wednesday, 25th. in the p.m. had a fresh breeze at north-west until 3
o'clock, at which time it came to west, and we tack'd and stood to the
northward."
-34.0;152.6167;blue;thursday, 26th. clear, serene weather.
-32.8833;152.0;blue;"sunday, 6th. in the evening the yawl return'd from fishing, having caught
2 sting rays weighing near 600 pounds."
-30.7167;154.75;blue;"thursday, 10th. in the p.m., had the wind at north-east by north, with
which we stood in shore until near 4 o'clock, when we tack'd in 23
fathoms water, being about a mile from the land, and as much to the
southward of cape 3 points."
-25.5667;154.75;blue;"sunday, 13th. in the p.m. stood in shore with the wind at north-east
until 6, at which time we tack'd, being about 3 or 4 miles from the land,
and in 24 fathoms."
-23.1167;18.0;blue;"friday, 18th. in steering along shore at the distance of 2 leagues off
our soundings was from 24 to 32 fathoms sandy bottom."
-22.8833;0.3333;blue;"saturday, 26th. in the p.m. light breezes at east-south-east, with which
we stood to the north-west until 4 o'clock, when it fell calm, and soon
after we anchored in 12 fathoms."
-22.0833;150.4;blue;"sunday, 27th. we had not stood on to the northward quite an hour before
we fell into 3 fathoms, upon which i anchor'd, and sent away the master
with 2 boats to sound the channell, which lay to leeward of us between
the northermost island and the main land, which appear'd to me to be
pretty broad; but i suspected that it was shoal, and so it was found, for
the master reported to me upon his return that he found in many places
only 2 1/2 fathoms, and where we lay at anchor we had only 16 feet, which
was not 2 feet more than the ship drew."
-21.4833;59.0;blue;"wednesday, 30th. in the p.m. i went again in search of fresh water, but
had no better success than before; wherefore i gave over all thoughts of
laying the ship a shore, being resolved to spend as little time as
possible in a place that was likely to afford us no sort of refreshment."
-20.9333;16.0;blue;"friday, june 1st. at 1/2 an hour after noon, upon the boat we had ahead
sounding making the signal for shoal water, we hauld our wind to the
north-east, having at that time 7 fathoms; the next cast 5, and then 3,
upon which we let go an anchor, and brought the ship up."
-19.0167;1.5;blue;"saturday, 2nd. winds at south-south-east and south-east, a gentle breeze,
with which we stood to the north-west and north-west by north, as the
land lay, under an easey sail."
-13.0333;144.0;blue;"wednesday, 6th. light airs at east-south-east, with which we steer'd
west-north-west as the land now lay; depth of water 12 and 14 fathoms."
-12.6333;144.75;blue;wednesday, 15th. fresh trade at south-east and clear weather.
-12.0;143.4167;blue;"in the p.m., as the wind would not permit us to sail out by the same
channel as we came in, neither did i care to move until the pinnace was
in better repair, i sent the master with all the other boats to the reef
to get such refreshments as he could find, and in the meantime the
carpenters were repairing the pinnace. variations by the amplitude and
azimuth in the morning 4 degrees 9 minutes easterly; at noon latitude
observed 12 degrees 38 minutes south, longitude in 216 degrees 45 minutes
west."
-11.3833;143.7667;blue;sunday, 19th. gentle breezes at south-east by east and clear wether.
-10.55;141.3667;blue;monday, 20th. fresh breezes at east-south-east.
-10.45;142.6;blue;"thursday, 23rd. in the p.m. had little wind and variable, with which and
the tide of flood we keept advancing to the west-north-west; depth of
water 8, 7, and 5 fathoms."
-10.3;141.65;blue;"the north-east entrance of this passage or strait lies in the latitude of
10 degrees 27 minutes south, and in the longitude of 218 degrees 36
minutes west from the meridian of greenwich. * (* as before mentioned,
this longitude is over a degree in error."
-10.1667;140.2;blue;saturday, 25th. winds at north-east and east-north-east, a gentle breeze.
-9.9333;139.0;blue;sunday, 26th. fresh breezes at east in standing to the north-west.
-8.2167;139.4167;blue;"monday, 27th. fresh breezes between the east by north and
east-south-east, with which we steer'd west until sun set; depth of water
from 27 to 23 fathoms."
-8.6333;138.5667;blue;"wednesday, 29th. continued standing to the northward, with a fresh gale
at east by south and south-east until 6 o'clock, having very irregular
and uncertain soundings from 24 to 7 fathoms."
-8.4;138.9167;blue;"thursday, 30th. fresh breezes at south-east, east-south-east, and east by
south."
-7.65;138.7;blue;"friday, 31st. between 12 and 1 in the p.m. steer'd north-north-west, in
which time we shoalded our water from 8 to 5 1/2, which i thought was
little enough, and therefore keept away again west, and soon depen'd it
to 7 fathoms, which depth we keept until 6, having the land just in sight
from the deck."
-7.2333;138.5;blue;"saturday, 1st september. in the p.m. and most part of the night had a
fresh breeze from the south-east with which we keept standing in for the
land north-east and east-north-east, close upon a wind, until half past
6, when we anchor'd in 4 1/2 fathoms, soft muddy bottom, as we have every
were found upon the coast."
-6.7333;137.85;blue;"sunday, 2nd. in the p.m. had calm until 2, when a light breeze sprung up
at north by east, and we stood in for the land east by north until 5, at
which time we got the wind from the south-west, a light breeze, with
which we steer'd north-east, edging in for the land, having it in sight
from the deck, and which i judged to be about 3 or 4 leagues off, being
very low land."
-7.4167;135.6833;blue;"tuesday, 4th. stood to the westward all this day, having at first a
moderate breeze southerly, which afterwards freshned and veered to
south-east and east-south-east."
-8.25;133.7833;blue;"wednesday, 5th. winds at east by south and south-east by east, a fresh
gale and clear weather, with which were run 118 miles upon a south 69
degrees 15 minutes west course, which at noon brought us into the
latitude of 7 degrees 25 minutes south, longitude 225 degrees 41 minutes
west; depth of water 28 fathoms, having been in soundings the whole of
this day's run, generally between 10 and 20 fathoms."
-9.5;131.5667;blue;"thursday, 6th. a steady fresh gale at east by south and clear weather,
with which we steer'd west-south-west."
-9.6;129.2833;blue;"friday, 7th. as i was not able to satisfy myself from any chart what land
it was we saw to leeward of us, and fearing it might trend away more
southerly, and the weather being hazey so that we could not see far, we
steer'd south-west, which course by 4 o'clock run us out of sight of the
land; by this i was assured that no part of it lay to the southward of 8
degrees 15 minutes south."
-9.7667;128.1167;blue;saturday, 8th. winds easterly, with a high sea from the same quarter.
-8.25;132.1667;blue;sunday, 9th. light airs and clear weather the most part of this 24 hours.
-10.65;125.95;blue;tuesday, 11th. variable light airs and clear weather.
-10.5833;123.5;blue;"sunday, 16th. light breezes from the north-east by east, with clear
weather, except in the morning, when we had it cloudy, with a few small
showers of rain."
-10.7833;122.4667;blue;"before we proceed any further it will be proper in this place to say
something of the island we have been last at, which is called by the
natives savu. the middle of it lies in about the latitude of 10 degrees
35 minutes south, longitude 237 degrees 30 minutes west."
-11.1667;120.8;blue;"saturday, 22nd. winds at south-south-east, south-east, and east; a gentle
breeze, which we steer'd west-south-west by compass."
-11.1333;118.2167;blue;"sunday, 23rd. winds easterly; a moderate breeze, which by noon brought us
into the latitude of 11 degrees 10 minutes south, longitude 240 degrees
48 minutes west."
-11.2167;116.0;blue;"monday, 24th. winds at east and south-east; a moderate breeze, and fine,
pleasant weather."
-11.1667;115.0;blue;"tuesday, 25th. moderate breezes at south-east, and clear, pleasant
weather."
-10.85;110.0;blue;wednesday, 26th. winds and weather as yesterday.
-9.5167;109.6667;blue;"friday 28th. winds at south-south-east and south-east; a fresh breeze and
cloudy, with some showers of rain."
-7.5667;108.3833;blue;"saturday, 29th. moderate breeze at south-east and clear pleasant weather,
steer'd north-west all this day, in order to make the land of java."
-7.5333;105.5833;blue;"""please to acquaint my lords commissioners of the admiralty that i left
rio de janeiro the 8th of december, 1768, and on the 16th of january
following arrived in success bay in straits la maire, where we recruited
our wood and water; on the 21st of the same month we quitted straits la
maire, and arrived at george's island on the 13th of april. in our
passage to this island i made a far more westerly track than any ship had
ever done before; yet it was attended with no discovery until we arrived
within the tropick, where we discovered several islands."
-7.9167;105.9;blue;"""i send herewith a copy of my journal, containing the proceedings of the
whole voyage, together with such charts as i have had time to copy, which
i judge will be sufficient for the present to illustrate said journal. in
this journal i have with undisguised truth and without gloss inserted the
whole transactions of the voyage, and made such remarks and have given
such discriptions of things as i thought was necessary in the best manner
i was capable off."
-8.8;105.85;blue;"thursday, 17th. little wind and fair at 6 p.m. java head bore
east-north-east, distant 4 or 5 leagues; at 6 a.m. it bore
north-north-east, 12 leagues."
-9.2333;104.25;blue;friday, 18th. light airs and calms, with showers of rain.
-9.7667;103.0833;blue;"saturday, 19th. for the most part of these 24 hours had little wind and
fair weather."
-9.4833;103.1333;blue;sunday, 20th. light airs and calms, with some showers of rain.
-9.5;104.8333;blue;"monday, 21st. first part little wind, the remainder a gentle breeze; the
2 sail in sight."
-9.5667;104.8333;blue;tuesday, 22nd. little wind and fair weather.
-9.7333;104.7333;blue;"wednesday, 23rd. ditto weather; a swell from the southward, and which we
have had ever since we left the straits of sunda."
-9.9333;104.5333;blue;thursday, 24th. first part light airs, the remainder calm.
-10.2;104.6833;blue;"friday, 25th. light airs and calms; hot, sultry weather."
-11.0;103.45;blue;"saturday, 26th. first part little wind, the remainder calm and very hot;
set up the topmast rigging, and clear'd ship between decks, and wash her
with vinegar."
-11.95;102.25;blue;sunday, 27th. little wind, and sometimes calm.
-12.8;102.9833;blue;"monday, 28th. moderate breezes, with some squalls, attended with showers
of rain."
-13.7;101.9167;blue;"tuesday, 29th. very variable weather; sometimes squally, with rain, other
times little wind and calms."
-14.7333;99.6667;blue;"wednesday, 30th. first and latter parts moderate breezes and cloudy
weather; the middle squally, with rain, thunder, and lightning."
-15.8;96.2667;blue;"thursday, 31st. first part moderate and fair, the remainder frequent
squalls, attended with showers of rain."
-16.6667;94.2667;blue;friday, february 1st. fresh gales, with flying showers of rain.
-17.5;92.5333;blue;saturday, 2nd. a fresh trade, and mostly fair weather.
-18.1;90.9;blue;sunday, 3rd. ditto weather.
-18.5;88.4667;blue;"monday, 4th. a fresh trade and hazey weather, with some squalls, attended
with small rain; unbent the main topsail to repair, and bent another."
-18.9667;86.3333;blue;tuesday, 5th. a fresh trade wind, and hazey, cloudy weather.
-19.4;84.6667;blue;wednesday, 6th. a fresh trade wind and fair weather.
-20.4667;79.2;blue;thursday, 7th. gentle gales, with some showers in the night.
-20.9667;77.3667;blue;"friday, 8th. winds as yesterday; clear weather in the day, and showrey in
the night."
-21.4167;76.7667;blue;sunday, 10th. fresh breezes and hazey weather.
-21.85;74.25;blue;monday, 11th. winds and weather as yesterday.
-22.35;72.05;blue;tuesday, 12th. gentle breezes and fair weather.
-22.6667;70.25;blue;wednesday, 13th. weather as yesterday.
-22.8667;68.3333;blue;thursday, 14th. moderate breezes and cloudy, with some showers of rain.
-23.3333;65.1333;blue;friday, 15th. ditto weather.
-23.95;63.7667;blue;saturday, 16th. a fresh trade and cloudy weather.
-24.4333;60.0833;blue;sunday, 17th. fresh gales, with some showers of rain.
-24.95;58.35;blue;monday, 18th. fair and pleasant weather.
-25.35;56.65;blue;tuesday, 19th. ditto weather.
-26.0833;54.9833;blue;wednesday, 20th. fresh gales and clear weather.
-26.9833;51.1;blue;"thursday, 21st. first and middle parts fair weather; latter squally,
attended with showers of rain."
-27.75;49.1167;blue;friday, 22nd. fresh trade and fair weather.
-29.1;45.4;blue;saturday, 23rd. ditto winds and weather.
-29.5;43.4167;blue;sunday, 24th. gentle breezes and fair weather.
-29.6167;41.0833;blue;tuesday, 26th. fresh gales.
-29.6833;40.4333;blue;wednesday, 27th. ditto gales and cloudy.
-30.35;39.7667;blue;"thursday, 28th. moderate breezes and fair weather until near 5 o'clock in
the a.m., when a heavy squall from the south-west, attended with rain,
took us all aback, and obliged us to put before the wind, the better to
take in our sails; but before this could be done the foretopsail was
split in several places."
-31.0167;37.0333;blue;friday, march 1st. fresh gales and cloudy.
-31.9;36.6;blue;"saturday, 2nd. first part fresh gales and cloudy; remainder little wind,
with some few showers of rain; a sea from the south-west."
-32.0;29.4833;blue;"sunday, 3rd. first part little wind; remainder gentle gales and clear
weather, and the sea pretty smooth."
-32.9;29.9333;blue;"monday, 4th. in the p.m. had a moderate breeze, which continued until 5
o'clock in the a.m., when it fell calm, and soon after a breeze sprung up
at south-west."
-34.75;22.8;blue;"tuesday, 5th. fresh gales from the south-south-west, with squally, rainy
weather, with which we stood to the westward."
-34.8333;21.3833;blue;"thursday, 7th. cloudy, hazey weather; winds varying between the
south-west by south and south-east by south; a light breeze at 1 p.m.
tack'd, and stood to the westward, land at north, distant about 8
leagues."
-32.2333;16.1333;blue;"monday, 11th. first part light airs at west; the remainder had a fresh
gale at south-east, with which we steer'd west and west-north-west, in
order to make the land, which was seen from the deck at 10 a.m. at noon
it extended from north-east to north-west, distant 5 leagues; the middle
appear'd high and mountainous, and the two extremes low."
-31.2333;15.3167;blue;"tuesday, 12th. in the p.m. had the wind at south-east and east, with
which we steer'd along shore west and west-south-west."
-31.2333;15.55;blue;"wednesday, 13th. in the p.m., having the wind at south, we steer'd along
shore west by south 1/2 south until 3 o'clock, when, finding this course
carried us off from the land, we steer'd west by north; at 6 o'clock cape
laguillas, or the high land over it, bore east by north 12 leagues
distance, and the westermost land in sight north-west 1/2 west."
-29.6667;14.1667;blue;"wednesday, 17th. fresh breezes and fair weather, with a swell from the
south-west."
-28.7167;13.7;blue;thursday, 18th. gentle breezes and clear weather.
-27.45;11.4;blue;friday, 19th. little wind and sometimes calm.
-26.3167;10.7;blue;saturday, 20th. gentle breezes and clear weather.
-25.1;9.2667;blue;sunday, 21st. a moderate trade wind and pleasant weather.
-23.4667;9.8667;blue;monday, 22nd. a fresh trade, and pleasant weather.
-21.6667;6.2;blue;tuesday, 23rd. gentle breezes, and clear weather.
-20.0667;4.6667;blue;wednesday, 24th. ditto weather.
-18.6833;2.9;blue;"thursday, 25th. first part, moderate and clear; middle, squally, with
rain; latter, fresh gales and cloudy."
-17.3167;-0.8333;blue;friday, 26th. fresh gales, and a large swell from the southward.
-16.1833;-2.7;blue;saturday, 27th. fresh gales and cloudy.
-15.0833;-6.7667;blue;sunday, 28th. ditto weather.
-13.7;-8.45;blue;monday, 29th. ditto gales.
-12.0833;-10.15;blue;tuesday, 30th. fresh gales and pleasant weather.
-10.65;-11.7;blue;sunday, 5th. gentle breezes and clear weather.
-9.2667;-13.2833;blue;monday, 6th. moderate breezes and cloudy weather.
-7.9;-14.3;blue;tuesday, 7th. ditto weather.
-6.4;-15.85;blue;wednesday, 8th. a steady breeze and pleasant weather.
-4.6333;-16.9;blue;thursday, 9th. ditto weather.
-2.9667;-17.9667;blue;"friday, 10th. at 6 in the a.m. saw the island of ascention bearing
north-north-west, distant 7 leagues."
-1.4333;-18.95;blue;friday, 11th. a steady trade wind and pleasant weather.
-0.2333;-19.7167;blue;"saturday, 12th. first and middle parts a steady breeze, and fair the
latter; light squalls, with rain."
0.7833;-20.3333;blue;"sunday, 13th. gentle breezes and clear weather; hott and sultry."
1.65;-20.8333;blue;monday, 14th. ditto weather.
4.5333;-21.9667;blue;tuesday, 15th. little wind and hot, sultry weather.
6.1333;-25.1333;blue;wednesday, 16th. light breezes and fair weather.
6.9667;-25.6333;blue;thursday, 17th. ditto weather.
7.8167;-26.0333;blue;sunday, 19th. cloudy, unsettled weather, with some rain.
9.6833;-28.5;blue;tuesday, 21st. little wind, with some heavy showers of rain.
20.7833;-29.5833;blue;wednesday, 22nd. variable, unsettled weather, with rain.
12.1167;-30.6667;blue;"thursday, 23rd. little wind from the eastward, with frequent showers of
rain, and hazey weather."
13.5;-31.85;blue;saturday, 25th. moderate trade wind and cloudy weather.
15.3167;-33.0333;blue;sunday, 26th. a steady trade and cloudy weather.
17.0833;-34.15;blue;monday, 27th. a steady, fresh trade and cloudy weather.
18.8333;-35.6667;blue;tuesday, 28th. a steady trade and fair weather.
20.2;-36.6833;blue;wednesday, 29th. fresh gales and hazey.
21.3333;-38.0833;blue;thursday, 30th. ditto gales and cloudy.
22.35;-39.15;blue;friday, 31st. strong gales and cloudy in the evening.
23.6667;-40.0667;blue;saturday, june 1st. fresh trade, and cloudy weather.
24.5167;-41.1833;blue;sunday, 2nd. moderate gales and clear weather.
27.3667;-43.7;blue;monday, 3rd. a gentle trade wind, and pleasant weather.
28.8333;-43.7;blue;tuesday, 4th. ditto weather.
30.1833;-44.15;blue;wednesday, 5th. gentle breezes, with some showers of small rain.
31.2;-44.8333;blue;friday, 7th. moderate breezes, and cloudy.
32.2667;-45.2333;blue;saturday, 8th. moderate breezes and pleasant weather.
33.1333;-44.8833;blue;sunday, 9th. clear, pleasant weather and a smooth sea.
34.2333;-44.4167;blue;monday, 10th. little wind and clear weather.
35.8;-43.8;blue;tuesday, 11th. ditto weather.
37.0333;-41.9;blue;wednesday, 12th. light breezes and clear weather.
38.3;-40.6333;blue;thursday, 13th. little wind and pleasant weather.
38.95;-38.6;blue;friday, 14th. a gentle gale, and pleasant weather.
39.8667;-36.9833;blue;saturday, 15th. ditto weather at daylight.
40.15;-36.7333;blue;"sunday, 16th. a steady breeze and pleasant weather, with some rain in the
night."
40.4833;-33.1667;blue;monday, 17th. steady, gentle gales and pleasant weather.
40.55;-30.3333;blue;tuesday, 18th. little wind, and clear weather.
41.1833;-27.8667;blue;wednesday, 19th. fresh gales and cloudy.
40.7167;-26.2167;blue;thursday, 20th. fresh gales and cloudy, with some showers of rain.
40.5667;-24.8167;blue;friday, 21st. fresh gales and cloudy.
40.65;-23.55;blue;saturday, 22nd. fresh gales, with squalls, attended with rain.
40.7167;-21.9667;blue;sunday, 23rd. fresh gales and squally, attended with showers of rain.
41.2333;-20.9833;blue;"monday, 24th. first part, moderate breezes; remainder, squally."
42.9167;-19.3;blue;tuesday, 25th. first part and remainder a fresh breeze and cloudy.
43.65;-17.6;blue;"wednesday, 26th. first part, breezes; remainder, little wind."
44.5667;-16.0333;blue;thursday, 27th. moderate breezes and cloudy weather.
44.9;-13.9833;blue;friday, 28th. fresh breezes, with showers of rain.
45.9;-13.0333;blue;"saturday, 29th. first part, little wind; remainder, fresh gales and
squally, with showers of rain."
45.4;-11.9833;blue;sunday, 30th. gentle breezes and fair weather.
45.4833;-10.7333;blue;monday, july 1st. ditto weather.
45.5667;-10.5333;blue;tuesday, 2nd. little wind and cloudy, hazey weather.
44.75;-9.7;blue;wednesday, 3rd. little wind and pleasant weather.
46.2667;-9.65;blue;thursday, 4th. gentle breezes and cloudy weather.
46.75;-8.9;blue;friday, 5th. little wind and cloudy.
48.3167;-8.0167;blue;saturday, 6th. gentle breezes and cloudy.
49.4833;-6.3;blue;sunday, 7th. gentle breezes and clear weather.
